,AF3_max,AF4_max,AF3_time_of_max,AF4_time_of_max,label
0,7867.692383,6775.384765999999,1645492468.7231,1645492468.785641,blink
1,7903.589844,6857.94873,1645492476.087471,1645492476.181244,blink
2,5900.0,4894.3588869999985,1645817347.1357741,1645817347.1435866,blink
3,4923.0771479999985,4674.3588869999985,1645900220.3641634,1645900220.411041,blink
4,8023.589844,5321.538574,1645649653.465826,1645649653.512721,blink
5,8023.077148,5315.384765999999,1645649558.3157759,1645649558.3783028,blink
6,8067.179687999998,5215.384765999999,1645649506.371696,1645649506.512381,blink
7,7877.94873,5661.538574,1645494533.651078,1645494533.697968,blink
8,7972.820312999998,5343.0771479999985,1645649544.0987608,1645649544.161288,blink
9,5043.0771479999985,4782.05127,1645817469.243608,1645817469.2748618,blink
10,7957.436035,5285.128418,1645649572.915768,1645649572.9626632,blink
11,5003.589844,4757.94873,1645900173.110652,1645900173.134091,blink
12,4900.0,4680.0,1645494707.666809,1645494707.666809,blink
13,7903.077148,5641.025879,1645494595.7487571,1645494595.7956462,blink
14,7858.974120999998,6750.256348000001,1645492392.075614,1645492392.099016,blink
15,6317.94873,4929.743652,1645494601.1488938,1645494601.164524,blink
16,7887.179687999998,6187.692383,1645492549.7523801,1645492549.8149948,blink
17,5284.615234000001,4839.487305,1645817417.979883,1645817417.979883,blink
18,7856.922852,5475.384765999999,1645491966.1451,1645491966.191886,blink
19,8043.589844,5101.538574,1645649483.1742802,1645649483.1820948,blink
20,5050.769043,4712.307617,1645817456.328056,1645817456.312429,blink
21,4941.025879,4758.974121,1645817496.512378,1645817496.442058,blink
22,5067.692383,4704.615234000001,1645494674.929939,1645494674.929939,blink
23,7965.641113,5674.871582,1645649615.394864,1645649615.473023,blink
24,5036.410156,4748.205078,1645900083.908712,1645900083.947777,blink
25,5012.820313,4750.256348,1645817360.520131,1645817360.520131,blink
26,7909.230956999999,5014.3588869999985,1645649525.715903,1645649525.73935,blink
27,5790.256348,4605.128418,1645494527.719523,1645494527.711708,blink
28,7869.743651999999,5886.666504,1645492150.308484,1645492150.370904,blink
29,7883.077148,5119.487305,1645649639.295706,1645649639.303522,blink
30,7862.05127,6178.461426,1645492110.027345,1645492110.0741339,blink
31,7980.0,4993.333496,1645649601.0059009,1645649601.0293481,blink
32,7845.641113,6341.025879,1645492522.417928,1645492522.449285,blink
33,7907.692383,6168.205078,1645494559.7296019,1645494559.8233821,blink
34,7637.94873,4801.538574,1645649397.031426,1645649397.0157962,blink
35,7857.94873,5208.7177729999985,1645491916.493942,1645491916.4861279,blink
36,5139.487305,4799.487305,1645817476.220975,1645817476.228789,blink
37,5363.0771479999985,5000.512695,1645900124.708618,1645900124.739871,blink
38,7986.666504000002,4676.9228520000015,1645649486.918068,1645649487.097832,blink
39,5129.743652,4777.436035,1645494692.232262,1645494692.2166321,blink
40,4944.615234000001,4649.230957,1645900230.9665134,1645900231.013392,blink
41,7830.769043000001,5804.615234000001,1645492412.572103,1645492412.60341,blink
42,7941.025879000002,5600.512695,1645649320.586142,1645649320.687736,blink
43,4946.153809,4722.563965,1645817570.9662778,1645817570.981905,blink
44,5013.846191,4732.820313,1645900130.0605779,1645900130.068392,blink
45,7872.820312999998,7058.461426000002,1645492347.236931,1645492347.330611,blink
46,7908.717773,7472.307617,1645491892.426929,1645491892.544367,blink
47,7927.692383,5364.615234000001,1645649562.919307,1645649563.0209134,blink
48,7883.077148,5963.589844,1645494567.333559,1645494567.3960788,blink
49,7975.384765999999,5270.769043,1645649577.636536,1645649577.714694,blink
50,7876.410156,5161.025879,1645649378.400721,1645649378.44761,blink
51,5010.256348,4735.897461,1645900098.456668,1645900098.5191731,blink
52,5029.743652,4727.179688,1645817400.923228,1645817401.063869,blink
53,7877.436035,6248.7177729999985,1645491993.822773,1645491993.916352,blink
54,5510.769043,4791.794922,1645494738.012302,1645494738.027932,blink
55,5043.589844,4766.153809,1645817340.955374,1645817340.9319339,blink
56,5132.820313,4799.487305,1645817489.996002,1645817490.003815,blink
57,5004.615234000001,4768.205078,1645817516.803781,1645817516.788154,blink
58,5015.897461,4752.820313,1645900079.478696,1645900079.486508,blink
59,5074.3588869999985,4778.461426,1645817462.297495,1645817462.281868,blink
60,6171.2822270000015,4868.7177729999985,1645494584.4873981,1645494584.495213,blink
61,7852.307617,6192.820313,1645492613.47925,1645492613.573157,blink
62,7782.563965,5238.461426,1645817388.335839,1645817388.538987,blink
63,5125.6411130000015,4746.153809,1645900050.617176,1645900050.617176,blink
64,6803.589844,5121.025879,1645492606.423239,1645492606.423239,blink
65,5100.0,4796.410156,1645817556.7068212,1645817556.7615151,blink
66,5083.589844,4616.9228520000015,1645494618.310548,1645494618.310548,blink
67,4866.153809,4626.153809,1645900210.113401,1645900210.129027,blink
68,5221.025879,4801.538574,1645900075.02524,1645900075.056492,blink
69,5054.3588869999985,4745.6411130000015,1645817509.662332,1645817509.717026,blink
70,7966.153809,5364.102539,1645649530.4288552,1645649530.47575,blink
71,7909.230956999999,5292.307617,1645649553.680982,1645649553.743509,blink
72,5046.666504,4763.0771479999985,1645900119.301967,1645900119.325406,blink
73,4898.461426,4589.230957,1645494685.988108,1645494688.1137779,blink
74,5204.102539,4861.538574,1645900109.434046,1645900109.4809241,blink
75,5396.9228520000015,4773.333496,1645494667.208758,1645494667.208758,blink
76,7851.282227,5977.94873,1645492064.974127,1645492065.0288286,blink
77,7894.358887,5064.615234000001,1645649401.9626234,1645649402.009512,blink
78,5989.743652,5118.974121,1645900020.169601,1645900020.208667,blink
79,4953.333496,4674.871582,1645817351.440958,1645817351.480025,blink
80,4908.7177729999985,4677.436035,1645900287.455085,1645900287.455085,blink
81,7893.333495999998,6681.538574,1645492444.1007981,1645492444.147723,blink
82,6931.282227,4871.2822270000015,1645649324.962482,1645649324.962482,blink
83,7854.358887,6605.128418,1645492335.17378,1645492335.244024,blink
84,7874.358887,6996.410156,1645491956.850036,1645491956.95153,blink
85,7853.846191,5397.94873,1645492101.815509,1645492101.8624,blink
86,5040.0,4747.692383,1645494702.024408,1645494702.032223,blink
87,7534.358887,4939.487305,1645649358.504003,1645649358.511818,blink
88,5025.6411130000015,4739.487305,1645817435.7163026,1645817435.724117,blink
89,5565.6411130000015,4835.897461,1645817327.446003,1645817327.430376,blink
90,7871.794922,7155.384765999999,1645492315.974501,1645492316.036852,blink
91,4929.743652,4722.05127,1645900009.246915,1645900009.2703538,blink
92,4980.512695,4771.794922,1645817441.4279,1645817441.287259,blink
93,5055.897461,4703.0771479999985,1645494697.2182071,1645494697.210392,blink
94,7870.769043000001,7171.282227,1645492291.764749,1645492291.8269384,blink
95,7862.05127,6016.410156,1645492081.873719,1645492081.959579,blink
96,5048.205078,4786.153809,1645817412.533942,1645817412.5417562,blink
97,7982.563965,5521.025879,1645649610.377094,1645649610.4396212,blink
98,7935.897461,5766.666504,1645494540.0593462,1645494540.121866,blink
99,7845.641113,5035.897461,1645494644.8814151,1645494644.90486,blink
100,4880.512695,4711.2822270000015,1645900044.952693,1645900044.94488,blink
101,7883.589844,5094.3588869999985,1645649344.015191,1645649343.976117,blink
102,7938.461426000002,5335.384765999999,1645649387.5441446,1645649387.622294,blink
103,7864.102539,5620.0,1645492177.1792526,1645492177.249484,blink
104,7894.358887,7277.436035,1645492282.834542,1645492282.8889349,blink
105,4995.384765999999,4662.563965,1645817356.074305,1645817356.1055589,blink
106,6989.743651999999,5262.563965,1645492598.728188,1645492598.728188,blink
107,7854.871581999999,6615.897461,1645492402.764725,1645492402.842933,blink
108,7852.820312999998,6281.538574,1645492057.7903054,1645492057.8449109,blink
109,5100.512695,4794.3588869999985,1645817407.119255,1645817407.134882,blink
110,7862.563965,5882.563965,1645492139.0940359,1645492139.164475,blink
111,5168.7177729999985,4802.05127,1645817536.477925,1645817536.501366,blink
112,7877.436035,5914.3588869999985,1645494546.5848384,1645494546.655173,blink
113,7851.282227,5438.974121,1645492092.142007,1645492092.204423,blink
114,7964.102539,6073.846191,1645649306.2614439,1645649306.3630366,blink
115,4899.487305,4617.436035,1645494623.679426,1645494623.695056,blink
116,5010.769043,4736.410156,1645900113.9187539,1645900113.9187539,blink
117,8002.563965,5141.025879,1645649520.924792,1645649521.026398,blink
118,7880.512695,5452.307617,1645649582.505805,1645649582.64649,blink
119,5013.846191,4735.384765999999,1645900263.570498,1645900263.617376,blink
120,7861.025879000002,4984.615234000001,1645649334.926471,1645649334.926471,blink
121,7893.846191,5842.05127,1645492072.630147,1645492072.708402,blink
122,7877.94873,5727.179688,1645491973.731742,1645491973.809997,blink
123,7884.615234000001,5686.153809,1645491982.45135,1645491982.529399,blink
124,7758.974120999998,6360.0,1645492119.573466,1645492119.604726,blink
125,5035.897461,4702.563965,1645817381.866342,1645817381.8194618,blink
126,7882.05127,6350.256348,1645492461.2028642,1645492461.24189,blink
127,4991.794922,4777.436035,1645817423.7149189,1645817423.597718,blink
128,5323.0771479999985,4593.333496,1645494521.5300741,1645494521.490999,blink
129,7876.922852,5893.846191,1645492531.972028,1645492531.995372,blink
130,7895.384765999999,4984.102539,1645649339.5528884,1645649339.5607018,blink
131,5014.871582,4717.94873,1645900276.860548,1645900276.8918,blink
132,5007.179688,4780.0,1645900258.296669,1645900258.320108,blink
133,5518.974121,4970.769043,1645900034.858193,1645900034.8660061,blink
134,7989.230956999999,5560.512695,1645649591.298626,1645649591.3846,blink
135,7814.358887,4868.7177729999985,1645649535.313756,1645649535.376283,blink
136,7975.897461,5330.256348,1645649625.070876,1645649625.109955,blink
137,7933.333495999998,5222.563965,1645649411.246716,1645649411.30142,blink
138,7823.589844,6580.0,1645492452.566269,1645492452.488125,blink
139,4961.025879,4686.153809,1645900313.8320448,1645900313.8086061,blink
140,4952.820313,4647.179688,1645494653.798285,1645494653.8217301,blink
141,4925.128418,4678.974121,1645900303.229694,1645900303.229694,blink
142,7977.94873,5195.384765999999,1645649630.1511722,1645649630.182436,blink
143,7872.820312999998,5419.487305,1645649383.089656,1645649383.144361,blink
144,7346.153809,4903.589844,1645649406.565595,1645649406.565595,blink
145,7871.282227,6902.05127,1645492434.11864,1645492434.165467,blink
146,5163.589844,4798.461426,1645900104.308665,1645900104.293039,blink
147,7848.717773,6388.205078,1645492129.424809,1645492129.487226,blink
148,7878.461426000002,5590.769043,1645649667.120101,1645649667.1748116,blink
149,5074.871582,4794.3588869999985,1645900308.487898,1645900308.5113368,blink
150,7888.205078,5247.179688,1645649690.786468,1645649690.716125,blink
151,5102.563965,4778.974121,1645900039.631985,1645900039.67105,blink
152,7867.179687999998,6424.615234000001,1645492492.3941429,1645492492.464498,blink
153,7945.128418000001,5558.974121,1645649662.4540439,1645649662.508755,blink
154,5115.897461,4692.307617,1645817543.213077,1645817543.213077,blink
155,5049.743652,4681.538574,1645494680.400411,1645494680.423856,blink
156,4883.589844,4632.820313,1645900241.9126391,1645900241.998583,blink
157,4904.615234000001,4657.94873,1645900247.4443,1645900247.4521134,blink
158,5055.897461,4777.94873,1645817578.7640526,1645817578.7640526,blink
159,7950.769043000001,5320.0,1645649681.477801,1645649681.485617,blink
160,5954.3588869999985,4708.7177729999985,1645649605.929881,1645649605.96896,blink
161,7994.871581999999,5047.692383,1645649501.3070312,1645649501.4008212,blink
162,7883.589844,5107.692383,1645649671.793974,1645649671.8096054,blink
163,7871.282227,6521.538574,1645492559.726161,1645492559.796591,blink
164,7883.589844,6943.077148,1645491904.924423,1645491905.002469,blink
165,5085.6411130000015,4795.897461,1645817550.2451382,1645817550.2451382,blink
166,4996.9228520000015,4670.256348,1645900029.771877,1645900029.724999,blink
167,4958.974121,4649.743652,1645900215.363791,1645900215.363791,blink
168,7885.128418000001,5622.05127,1645494607.314898,1645494607.385233,blink
169,7866.666504000002,6893.846191,1645492326.173336,1645492326.251388,blink
170,5071.794922,4658.461426,1645494713.2857661,1645494713.348286,blink
171,4935.897461,4706.666504,1645900167.860262,1645900167.860262,blink
172,7903.077148,5115.897461,1645649567.8511019,1645649567.905813,blink
173,7872.820312999998,7205.128418000001,1645492308.1770759,1645492308.239512,blink
174,5142.563965,4825.6411130000015,1645817585.944568,1645817585.991449,blink
175,5030.769043,4671.794922,1645900194.518493,1645900194.5263062,blink
176,4975.897461,4678.461426,1645817449.874187,1645817449.8507464,blink
177,4799.487305,4617.436035,1645900015.059847,1645900015.083286,blink
178,7963.589844,5294.871582,1645649539.7609699,1645649539.831312,blink
179,5015.384765999999,4732.820313,1645817483.573386,1645817483.581199,blink
180,4949.743652,4658.461426,1645494612.847891,1645494612.816631,blink
181,7945.641113,5171.794922,1645649586.882676,1645649586.9295714,blink
182,5068.205078,4791.794922,1645817502.661525,1645817502.638085,blink
183,7893.846191,7329.230956999999,1645492299.712476,1645492299.790273,blink
184,8098.974120999998,4877.436035,1645649496.852002,1645649496.977055,blink
185,7925.641113,5914.3588869999985,1645494552.914956,1645494552.985291,blink
186,4929.230957,4660.0,1645900236.5997438,1645900236.662249,blink
187,7914.358887,5188.205078,1645649643.969579,1645649643.922684,blink
188,7869.743651999999,6714.871581999999,1645492160.691634,1645492160.7696786,blink
189,7875.897461,6827.692383,1645492382.5671089,1645492382.629618,blink
190,7908.717773,5030.769043,1645649548.850793,1645649548.9133186,blink
191,5768.7177729999985,4803.589844,1645494732.549644,1645494732.534015,blink
192,5207.692383,4833.333496,1645817563.738882,1645817563.785763,blink
193,4976.9228520000015,4715.384765999999,1645900135.26409,1645900135.271903,blink
194,5114.3588869999985,4789.743652,1645900069.688906,1645900069.712345,blink
195,7867.179687999998,6935.897461,1645492483.857342,1645492483.9199884,blink
196,4940.512695,4707.179688,1645900199.526677,1645900199.5423028,blink
197,4927.179688,4683.589844,1645900189.158719,1645900189.1430929,blink
198,7991.794922,5119.487305,1645649648.713795,1645649648.721611,blink
199,7849.743651999999,5872.307617,1645492589.567256,1645492589.621957,blink
200,5227.179688,4813.846191,1645900025.4434311,1645900025.4512439,blink
201,7946.153809,5466.153809,1645649373.766489,1645649373.829008,blink
202,7795.897461,4938.974121,1645649392.178377,1645649392.178377,blink
203,7792.820312999998,4925.6411130000015,1645649676.4912946,1645649676.467847,blink
204,8045.641113,5637.94873,1645649620.131264,1645649620.193791,blink
205,7958.461426000002,5153.846191,1645649511.154991,1645649511.201886,blink
206,7947.692383,5496.410156,1645649348.665053,1645649348.7353866,blink
207,4988.7177729999985,4665.128418,1645817429.950014,1645817429.887506,blink
208,5018.974121,4707.179688,1645900088.870018,1645900088.932523,blink
209,7920.0,5548.7177729999985,1645649596.222606,1645649596.292948,blink
210,7851.794922,5634.871582,1645492189.861394,1645492189.923813,blink
211,5114.871582,4800.512695,1645817529.063008,1645817529.086448,blink
212,4932.307617,4715.897461,1645900178.579808,1645900178.6032481,blink
213,7876.922852,5065.128418,1645649686.042252,1645649686.081331,blink
214,5016.9228520000015,4731.794922,1645817394.7037606,1645817394.6646938,blink
215,4902.05127,4663.0771479999985,1645900298.049622,1645900298.080875,blink
216,7821.538573999998,5189.230957,1645492004.018601,1645492004.0342321,blink
217,5581.025879,4517.94873,1645494744.178306,1645494744.170491,blink
218,4901.025879,4614.871582,1645900225.950515,1645900225.942702,blink
219,7859.487305,7080.512695,1645492355.820065,1645492355.890351,blink
220,5802.05127,4794.3588869999985,1645649363.341422,1645649363.349237,blink
221,7884.615234000001,5437.94873,1645649368.389843,1645649368.4523618,blink
222,7881.538573999998,5474.3588869999985,1645649311.216086,1645649311.317679,blink
223,7861.538573999998,5950.769043,1645492579.48139,1645492579.528179,blink
224,7769.230956999999,5462.05127,1645492540.755699,1645492540.755699,blink
225,7862.563965,6917.94873,1645491947.642668,1645491947.744269,blink
226,7907.179687999998,6358.461426,1645491938.184092,1645491938.246721,blink
227,6635.384765999999,4912.307617,1645494720.874093,1645494720.866278,blink
228,4968.7177729999985,4700.512695,1645817367.013067,1645817367.02088,blink
229,7955.384765999999,5174.871582,1645649634.6921759,1645649634.699992,blink
230,5075.384765999999,4802.563965,1645900093.268783,1645900093.2765946,blink
231,4997.436035,4682.563965,1645900282.173443,1645900282.2203212,blink
232,7873.333495999998,7050.769043000001,1645491926.197378,1645491926.322324,blink
233,7901.538573999998,6055.384765999999,1645492567.857263,1645492567.88862,blink
234,4898.974121,4619.487305,1645494629.103009,1645494629.134269,blink
235,7925.128418000001,6006.666504,1645494578.071315,1645494578.14165,blink
236,7846.153809,5305.128418,1645492169.29842,1645492169.3295786,blink
237,7887.692383,5125.6411130000015,1645649330.581391,1645649330.59702,blink
238,7905.641113,5829.230957,1645649353.3539894,1645649353.447767,blink
239,4821.538574,4632.820313,1645900183.8770769,1645900183.9239562,blink
240,5023.0771479999985,4744.102539,1645817375.904717,1645817375.904717,blink
241,7954.358887,5085.6411130000015,1645649492.2406552,1645649492.350077,blink
242,7830.769043000001,5325.128418,1645492048.5381448,1645492048.546061,blink
243,5115.897461,4847.179688,1645900252.929082,1645900252.929082,blink
244,7949.230956999999,5170.256348,1645649516.196208,1645649516.2978141,blink
245,4994.871582,4725.6411130000015,1645900204.941142,1645900204.956768,blink
246,7926.666504000002,5147.179688,1645649657.834882,1645649657.881777,blink
247,4915.384765999999,4677.94873,1645900292.5492141,1645900292.6195312,blink
248,5125.6411130000015,4756.410156,1645494727.040097,1645494728.8297234,blink
249,5139.487305,4764.615234000001,1645494749.695668,1645494749.703483,blink
250,4929.743652,4681.538574,1645900319.090248,1645900319.0980608,blink
251,5102.05127,4806.666504,1645817522.999808,1645817523.031062,blink
252,7921.538573999998,5192.820313,1645649315.889392,1645649315.920651,blink
0,4376.410156,4327.692383,1645650717.940552,1645650717.9327366,baseline
1,4406.666504,4422.05127,1645901001.884589,1645901000.149971,baseline
2,4379.487305,4362.05127,1645583563.206717,1645583562.89409,baseline
3,4429.230957,4391.2822270000015,1645583813.761532,1645583813.761532,baseline
4,4452.307617,4341.538574,1645493879.9716618,1645493878.996337,baseline
5,4348.205078,4316.410156,1645494166.166423,1645494166.228938,baseline
6,4366.153809,4340.0,1645583568.0993268,1645583568.318166,baseline
7,4352.307617,4355.897461,1645583676.619934,1645583676.643381,baseline
8,4536.410156,4422.05127,1645494270.434818,1645494270.427003,baseline
9,4404.102539,4347.692383,1645901203.256558,1645901203.319066,baseline
10,4394.871582,4351.2822270000015,1645900976.13098,1645900976.287252,baseline
11,4361.025879,4335.897461,1645583625.216259,1645583625.161549,baseline
12,4423.589844,4366.153809,1645650709.444441,1645650707.672669,baseline
13,4356.9228520000015,4336.410156,1645494190.431933,1645494192.1302571,baseline
14,4380.512695,4349.743652,1645583757.004121,1645583757.910739,baseline
15,4369.230957,4354.3588869999985,1645901176.35435,1645901174.8463259,baseline
16,4420.0,4379.487305,1645650830.065763,1645650830.065763,baseline
17,4365.128418,4303.589844,1645493874.923849,1645493874.4010901,baseline
18,4410.256348,4343.0771479999985,1645900966.778107,1645900967.043769,baseline
19,4382.05127,4361.025879,1645817779.968089,1645817780.624589,baseline
20,4393.333496,4351.794922,1645650625.7066288,1645650625.4169881,baseline
21,4437.436035,4375.384765999999,1645650614.801094,1645650614.738477,baseline
22,4377.94873,4357.94873,1645901248.278492,1645901248.239424,baseline
23,4375.384765999999,4337.94873,1645900993.219312,1645900994.789845,baseline
24,4367.179688,4333.333496,1645494212.986984,1645494212.0946882,baseline
25,4377.94873,4345.128418,1645583806.352275,1645583807.868515,baseline
26,4366.153809,4328.7177729999985,1645650644.799403,1645650644.791588,baseline
27,4408.7177729999985,4446.666504,1645901115.10358,1645901114.587882,baseline
28,4402.05127,4430.256348,1645493694.437938,1645493695.534117,baseline
29,4403.0771479999985,4391.2822270000015,1645494161.241725,1645494161.241725,baseline
30,4388.205078,4400.0,1645494227.764035,1645494225.47013,baseline
31,4351.794922,4336.410156,1645583801.795738,1645583800.553046,baseline
32,4359.487305,4336.9228520000015,1645583726.734023,1645583725.749249,baseline
33,4371.794922,4340.0,1645650682.04369,1645650681.777797,baseline
34,4818.461426,4705.128418,1645817760.953043,1645817760.953043,baseline
35,4358.461426,4338.974121,1645583774.5581212,1645583773.206009,baseline
36,4345.128418,4326.153809,1645494303.776536,1645494303.09559,baseline
37,4416.9228520000015,4369.230957,1645494250.373275,1645494250.389008,baseline
38,4374.871582,4375.897461,1645494308.333061,1645494307.5897892,baseline
39,4372.820313,4344.102539,1645583475.43672,1645583474.952148,baseline
40,4433.333496,4418.974121,1645494285.871669,1645494285.863852,baseline
41,4465.6411130000015,4436.410156,1645493688.591767,1645493688.630742,baseline
42,4377.436035,4358.461426,1645650782.6259134,1645650782.657171,baseline
43,4344.102539,4305.6411130000015,1645494202.041055,1645494202.879061,baseline
44,4346.666504,4315.897461,1645493717.984101,1645493718.2103279,baseline
45,4395.897461,4371.794922,1645901128.480454,1645901128.4570134,baseline
46,4432.820313,4442.05127,1645494265.038216,1645494264.231939,baseline
47,4403.589844,4344.102539,1645817877.2629118,1645817877.2629118,baseline
48,4378.974121,4351.2822270000015,1645817924.382399,1645817922.780227,baseline
49,4375.384765999999,4344.615234000001,1645901184.5664392,1645901185.543138,baseline
50,4433.846191,4361.025879,1645650842.496007,1645650842.496007,baseline
51,4398.461426,4329.743652,1645817815.9974186,1645817816.005235,baseline
52,4378.974121,4350.769043,1645583608.7486384,1645583609.264472,baseline
53,4396.9228520000015,4378.974121,1645650771.405153,1645650771.373895,baseline
