,num_above_peaks_AF3,num_above_peaks_AF4,variance_AF3,variance_AF4,label
40,3,3,28928.48798550784,12558.315139242543,blink
41,2,2,512285.5836379119,89718.9287879263,blink
42,3,2,1958247.8472245324,93489.93677407068,blink
43,3,3,62328.702793326775,27001.92731735635,blink
44,2,2,26627.964441849523,11800.048355462659,blink
45,3,2,1113985.309750312,361568.36206615734,blink
46,3,2,1400505.908434189,448135.03169741266,blink
47,3,3,1385796.769194669,71525.88340395073,blink
48,3,3,1065826.691052917,148154.01129083673,blink
49,3,2,1110830.475519734,47751.129110337024,blink
50,2,2,1051836.5246882162,34056.896455611386,blink
51,3,3,39415.21285345187,16982.086597235793,blink
52,0,0,171359.5742235085,77941.91347999615,blink
53,2,2,1309119.2743995003,213280.30010300205,blink
54,2,2,56794.69121562583,10998.632984499112,blink
55,3,3,43897.00487353652,18700.76710288623,blink
56,3,3,53040.636520409826,18865.72296472054,blink
57,4,3,63522.92928870806,23516.307727757714,blink
58,3,2,34712.33453082739,15065.34833252513,blink
59,4,3,71386.27681272077,28419.666119483958,blink
60,3,3,149104.41923429325,19457.33235753136,blink
61,2,2,1016325.9013477885,153493.58394310976,blink
62,3,3,2231734.6172723216,94865.08313044035,blink
63,2,2,30508.83338506123,11765.253167928971,blink
64,2,2,223247.87458365934,73008.32942994092,blink
65,2,2,102225.44726655436,42282.883578687826,blink
66,2,2,32157.978920335263,6846.623872537141,blink
67,3,3,25729.055960090627,11632.484772464912,blink
68,2,2,40131.19062915127,16965.521175843176,blink
69,1,1,106534.96116220772,44467.148813431806,blink
70,3,2,1118458.912166606,48966.77916981297,blink
71,3,2,1282613.8325915413,52064.60466470948,blink
72,2,3,23012.40613345761,10024.06100776622,blink
73,0,0,117115.98950304817,126850.31616425964,blink
74,2,2,47914.58614704151,24399.92993461046,blink
75,2,2,49255.71049038809,10861.64306384851,blink
76,2,2,1030392.0158409579,184678.0828104879,blink
77,2,2,754376.5408294427,29523.671550391755,blink
78,2,3,88837.26562152382,34136.77033522472,blink
79,2,2,19717.450752594952,11124.585851421463,blink
80,2,2,31336.557200974956,15732.353017439675,blink
81,3,2,1331002.9593551196,338799.39123690996,blink
82,2,2,159274.0119342223,12252.967541540123,blink
83,2,2,954718.797811591,233034.44069173312,blink
84,3,2,1355229.2501687815,297372.05234705424,blink
85,3,2,693611.8617026204,74722.03051335971,blink
86,3,3,33399.053999601216,11883.769198092396,blink
87,2,3,296387.1036429928,17576.089290364605,blink
88,3,3,52144.39000718185,18127.89012079211,blink
89,2,2,87120.98447981592,23567.013687906066,blink
90,2,2,863430.6374402303,321774.33935727656,blink
91,2,2,17744.220001510508,10928.994315274724,blink
92,3,2,59510.64394057207,31458.39036719308,blink
93,3,3,31826.25900179675,11241.828593451142,blink
94,2,2,841345.7525158956,287423.01582449634,blink
95,3,3,1425510.924317379,197022.9722477646,blink
96,3,3,63804.530420339506,27388.59299834491,blink
97,3,3,1358561.1794344734,74360.35759610125,blink
98,2,2,764946.9135611751,72767.23284378435,blink
99,2,3,532304.9092412482,23237.15276738946,blink
100,2,3,31522.665161419416,14504.100604511761,blink
101,3,3,777944.4397251846,22459.822772830557,blink
102,3,2,1416567.6836113385,46298.61913895272,blink
103,3,2,1030995.1148741394,99484.6794289671,blink
104,3,2,928121.7278583774,320085.36860738194,blink
105,3,3,29922.982498977904,10286.936721550466,blink
106,2,2,256046.18764201697,46828.55759164648,blink
107,3,2,1129575.9663895501,292143.501364081,blink
108,3,2,1127299.4029624427,202321.91711397775,blink
109,3,3,66629.87530321571,27394.822831579913,blink
110,2,2,1143100.1546216046,168392.5783628747,blink
111,3,3,85839.56193812325,28196.02305395683,blink
112,3,3,1136174.5630305652,177390.47393752553,blink
113,3,2,875412.445108428,90847.7515920254,blink
114,3,3,1777992.1471903564,119817.04313766153,blink
115,3,3,26819.94121051555,8432.086595893774,blink
116,3,2,34124.18891897235,15991.340184953384,blink
117,3,3,1308857.2234595597,47863.95271873139,blink
118,4,4,2174769.687874207,108449.74260325245,blink
119,2,2,26330.440221884208,12564.237411416938,blink
120,2,2,973048.2428333751,30995.966545023195,blink
121,3,2,1539807.0897944532,157373.00632579112,blink
122,3,3,1025869.0347763874,95260.46932210447,blink
123,3,2,1133852.2111558837,122664.91661475113,blink
124,3,2,1081777.4732922364,194764.8906061033,blink
125,3,2,30321.2831608663,10967.60765814361,blink
126,2,2,808681.9030752839,171754.880082195,blink
127,0,1,89771.24814020559,38371.544790858774,blink
128,2,2,34504.931136807645,6725.717508628465,blink
129,3,3,461015.5051512602,93185.42626009614,blink
130,3,2,797702.3125979148,25299.546971175256,blink
131,2,3,26897.46021623091,11755.76933720699,blink
132,2,3,35379.994638039214,18687.74023077496,blink
133,2,2,45813.80785739664,17958.69924875022,blink
134,3,3,1261904.9625272565,80436.23624486905,blink
135,3,2,795999.8754170699,23233.194951962676,blink
136,2,2,1150190.794125136,55729.04444761436,blink
137,2,2,962231.6005827758,33086.103683072266,blink
138,3,2,1058597.8362794127,273894.7806328417,blink
139,3,4,41132.711391979756,18907.720738256303,blink
140,3,3,19255.89787848015,6705.7943686867575,blink
141,3,3,31631.605862646302,16023.910024222578,blink
142,2,2,766481.5787767676,29463.756605093145,blink
143,3,2,1433757.7931045028,56580.6405498243,blink
144,2,3,290512.75810703106,17172.84937021374,blink
145,3,3,1262249.8673749452,332197.13299470244,blink
