,AF3_max,AF4_max,AF_adj_max_diff,AF_adj_max_ratio,AF_max_diff,AF_scaled_ratio,AF_scaled_diff,label
0,4660.512695,4589.230957,-17.4360349999979,0.9539291917645627,71.28173800000059,2.194793716033179,0.5348070499000754,none
1,4802.563965,4680.512695,54.87207099999887,1.1361330894227386,122.05126999999993,0.7934183938564366,-0.20558306166045137,none
2,7867.692383,6775.384765999999,1391.5383300000012,1.5426999022638836,1092.3076170000004,0.4235575543619874,-0.01651209789981469,none
3,7903.589844,6857.94873,1349.7437755,1.5045529366117592,1045.641114,0.4271580892552854,-0.013195354091616162,none
4,5900.0,4894.3588869999985,974.3588860000036,2.5447151681430076,1005.6411130000015,0.4116711753493416,-0.206314346746876,none
5,4923.0771479999985,4674.3588869999985,195.89794799999981,1.440093588375819,248.71826099999998,0.7182612447541323,-0.15578519377365257,none
6,8023.589844,5321.538574,3012.0511480000005,3.6770732132894515,2702.05127,0.15116287940515388,-0.11003853772558689,none
7,8023.077148,5315.384765999999,3060.5130610000006,3.666666701228775,2707.692382000001,0.17009156237414574,-0.07738530922693194,none
8,4962.05127,4768.205078,196.41015699999934,1.430578794564639,193.84619199999997,0.41318735824237995,-0.47590460525126366,none
9,8067.179687999998,5215.384765999999,3256.922973999999,4.337361032457106,2851.794921999999,0.2149978780248134,-0.07279690016918401,none
10,7877.94873,5661.538574,2500.512573,2.657093868966486,2216.410156,0.4686244686342716,-0.03314367192080561,none
11,7972.820312999998,5343.0771479999985,2901.794556499999,3.5580915941682028,2629.743165,0.1637152189595724,-0.09744954973795938,none
12,5043.0771479999985,4782.05127,224.87206949999927,1.4176196448657017,261.02587799999856,0.6117447073748017,-0.08156536400212307,none
13,4966.153809,4920.0,-67.17944249999982,0.9125792912034726,46.153809000000365,0.9582699461438549,0.013250045921557457,none
14,7957.436035,5285.128418,2985.384520999999,3.7356667662470757,2672.3076169999995,0.15960532548153483,-0.09509329736763626,none
15,5003.589844,4757.94873,208.9746100000002,1.4175210980412796,245.64111400000002,0.7686247094910867,-0.13369152909798626,none
16,4900.0,4680.0,216.66674799999964,1.5351489881145728,220.0,0.5529058956338976,-0.3333817097999604,none
17,7903.077148,5641.025879,2374.1025384999994,2.712409341285895,2262.0512690000005,0.2397958537833755,-0.07532859061668606,none
18,7858.974120999998,6750.256348000001,1349.743529999997,1.5333873773485662,1108.7177729999976,0.4656537503530415,-0.01538568832261469,none
19,6317.94873,4929.743652,1383.5898435,3.059541981071675,1388.205078,0.4398565958385981,-0.23577177710484643,none
20,7887.179687999998,6187.692383,1929.230712999999,1.9718417687777012,1699.4873049999987,0.2833739773318751,-0.03858420465618766,none
21,5284.615234000001,4839.487305,443.84594650000145,1.7337851211689748,445.12792900000113,0.5492768341739784,-0.08746227629537327,none
22,4845.6411130000015,4662.05127,124.61547800000153,1.312339560572599,183.58984300000157,0.8929929151561777,-0.14454736971087462,none
23,7856.922852,5475.384765999999,2624.102173000001,3.011794229544903,2381.5380860000005,0.45221543142248644,-0.03968625228462703,none
24,8043.589844,5101.538574,3183.3332525000005,5.494929865127449,2942.05127,0.2367430432058676,-0.2435154197289003,none
25,4888.7177729999985,4723.589844,90.7685539999984,1.1953626395032664,165.1279289999984,0.8735851348753408,-0.14423840013525424,none
26,5050.769043,4712.307617,300.2563479999999,1.6458909512841442,338.46142599999985,0.6112815871144143,-0.1157538104809411,none
27,4941.025879,4758.974121,112.56445350000013,1.2267569511611687,182.0517579999996,0.5227229030078908,-0.08859385543483304,none
28,4813.333496,4700.512695,56.1542974999993,1.1359415890696174,112.82080099999985,0.910040655918629,-0.10447442561890546,none
29,5067.692383,4704.615234000001,297.43603599999824,1.6223178707891903,363.0771489999988,0.6691646278838709,-0.23285811438746254,none
30,7965.641113,5674.871582,2686.6669919999995,2.76071295108732,2290.769531,0.20517784119761054,-0.04315942098354096,none
31,5036.410156,4748.205078,228.46166899999935,1.4477390039251397,288.20507799999996,0.7176611012919417,-0.12560598226155983,none
32,4700.512695,4464.615234000001,165.3845214999983,1.8354917028262696,235.89746099999957,0.9204251405022995,-0.743696316528752,none
33,5012.820313,4750.256348,206.6665040000007,1.425553969880732,262.5639650000003,0.6434919873188039,-0.11163327723741837,none
34,4972.307617,4677.94873,216.92285200000333,1.4705220733834903,294.3588870000003,0.42796078358194944,-0.35601082584937593,none
35,7909.230956999999,5014.3588869999985,3133.3336175000013,4.963672734589258,2894.8720700000003,0.13546770698201593,-0.1809767520125926,none
36,5790.256348,4605.128418,1190.7690430000002,4.588870606645391,1185.1279299999997,0.5077126795037784,-0.5679020296066601,none
37,7869.743651999999,5886.666504,2224.102539000001,2.3320023923049495,1983.0771479999994,0.21955941104989604,-0.05426185936355611,none
38,7883.077148,5119.487305,2872.308103999999,4.204234224222422,2763.5898430000007,0.1663181722329494,-0.16475576920706567,none
39,7862.05127,6178.461426,2340.5129400000005,2.185454658426546,1683.589844,0.5066130137442221,-0.014325122341273526,none
40,7980.0,4993.333496,3119.7435309999996,4.969657223494742,2986.666504,0.1618965806634186,-0.18349596503198565,none
41,5101.538574,4701.025879,346.41015550000066,1.8202782541667346,400.51269500000035,0.545860815627611,-0.15428519213483144,none
42,7845.641113,6341.025879,1606.1538090000013,1.7682117924455258,1504.6152339999999,0.5058933516028611,-0.02586446938191321,none
43,4864.102539,4669.230957,164.6149904999993,1.3789836081274662,194.87158200000067,0.7650142206107843,-0.14729206122385474,none
44,7907.692383,6168.205078,2141.025879,2.0702385865139434,1739.4873049999997,0.293118033807779,-0.027661183192051023,none
