,AF3_max,AF4_max,AF_adj_max_diff,AF_adj_max_ratio,AF3_second_largest,AF4_second_largest,AF_adj_sec_max_ratio,AF_adj_sec_max_diff,label
0,7867.692383,6775.384765999999,1391.5383300000012,1.5426999022638836,7866.666504000002,6765.128418000001,3654.806254388457,-7021.795166,none
1,7903.589844,6857.94873,1349.7437755,1.5045529366117592,7848.205078,6829.230956999999,3664.816562774554,-7042.564331499999,none
2,5900.0,4894.3588869999985,974.3588860000036,2.5447151681430076,5895.384765999999,4886.666504,1630.9162704625905,-7549.743164,none
3,4923.0771479999985,4674.3588869999985,195.89794799999981,1.440093588375819,4918.974121,4668.205078,688.8258839751406,-8260.513184,none
4,8023.589844,5321.538574,3012.0511480000005,3.6770732132894515,7926.666504000002,5292.307617,3729.521996710184,-5448.461547999999,none
5,8023.077148,5315.384765999999,3060.5130610000006,3.666666701228775,7885.641113,5304.102539,3717.229499616358,-5401.0255130000005,none
6,8067.179687999998,5215.384765999999,3256.922973999999,4.337361032457106,7883.589844,5184.615234000001,3643.3632186845916,-5374.871459,none
7,7877.94873,5661.538574,2500.512573,2.657093868966486,7836.922852,5636.410156,3683.6725527125836,-5820.512817000001,none
8,7972.820312999998,5343.0771479999985,2901.794556499999,3.5580915941682028,7851.282227,5340.512695,3641.827076784318,-5634.6151115,none
9,5043.0771479999985,4782.05127,224.87206949999927,1.4176196448657017,5018.461426,4775.897461,773.975469031192,-8280.769531499998,none
10,7957.436035,5285.128418,2985.384520999999,3.7356667662470757,7871.282227,5280.0,3676.7010418168566,-5483.333251,none
11,5003.589844,4757.94873,208.9746100000002,1.4175210980412796,4993.846191,4754.3588869999985,735.5069632370933,-8312.051269999998,none
12,4900.0,4680.0,216.66674799999964,1.5351489881145728,4896.9228520000015,4665.128418,620.8775625333637,-8321.795165999998,none
13,7903.077148,5641.025879,2374.1025384999994,2.712409341285895,7842.563965,5626.666504,3587.2124928072117,-6181.281738499999,none
14,7858.974120999998,6750.256348000001,1349.743529999997,1.5333873773485662,7845.128418000001,6736.922852,3624.794181641034,-7090.255981999998,none
15,6317.94873,4929.743652,1383.5898435,3.059541981071675,6290.256348,4914.871582,2031.4403386924287,-7145.1279295,none
16,7887.179687999998,6187.692383,1929.230712999999,1.9718417687777012,7833.846191,6110.769043,3630.6320916995464,-6452.307374000001,none
17,5284.615234000001,4839.487305,443.84594650000145,1.7337851211689748,5275.897461,4837.436035,1040.4063332034812,-8032.0515135,none
18,7856.922852,5475.384765999999,2624.102173000001,3.011794229544903,7828.205078,5456.9228520000015,3656.4595388242305,-5728.204957000003,none
19,8043.589844,5101.538574,3183.3332525000005,5.494929865127449,7992.820312999998,5037.94873,3598.6629058741673,-5590.512938500002,none
20,5050.769043,4712.307617,300.2563479999999,1.6458909512841442,5024.102539,4705.6411130000015,775.7557580753955,-8214.615723,none
21,4941.025879,4758.974121,112.56445350000013,1.2267569511611687,4927.692383,4724.102539,664.211407576594,-8391.0253905,none
22,5067.692383,4704.615234000001,297.43603599999824,1.6223178707891903,5051.2822270000015,4703.589844,823.7031630703823,-8171.281737999999,none
23,7965.641113,5674.871582,2686.6669919999995,2.76071295108732,7875.384765999999,5645.6411130000015,3725.745626738073,-5672.307616000001,none
24,5036.410156,4748.205078,228.46166899999935,1.4477390039251397,5021.025879,4738.461426,782.1701684945938,-8253.076416,none
25,5012.820313,4750.256348,206.6665040000007,1.425553969880732,5008.205078,4742.05127,742.6787377194041,-8318.974121000001,none
26,7909.230956999999,5014.3588869999985,3133.3336175000013,4.963672734589258,7885.641113,5011.794922,3660.999720438099,-5335.384644500001,none
27,5790.256348,4605.128418,1190.7690430000002,4.588870606645391,5778.974121,4591.2822270000015,1504.7111041881662,-7353.333985000001,none
28,7869.743651999999,5886.666504,2224.102539000001,2.3320023923049495,7840.512695,5875.897461,3622.91319785985,-6228.205079000001,none
29,7883.077148,5119.487305,2872.308103999999,4.204234224222422,7862.05127,5117.94873,3638.170214203332,-5593.333494999999,none
30,7862.05127,6178.461426,2340.5129400000005,2.185454658426546,7860.512695,6119.487305,3655.8305029561734,-6010.256592,none
31,7980.0,4993.333496,3119.7435309999996,4.969657223494742,7825.128418000001,4953.846191,3616.869918731162,-5410.512816999999,none
32,7845.641113,6341.025879,1606.1538090000013,1.7682117924455258,7841.538573999998,6336.9228520000015,3590.6275363548984,-6894.358399000002,none
33,7907.692383,6168.205078,2141.025879,2.0702385865139434,7842.563965,6166.153809,3674.260803559232,-6257.436035999999,none
34,7637.94873,4801.538574,2868.7177735000005,6.0693243453775825,7607.692383,4783.0771479999985,3371.1724767550913,-5614.359374499998,none
35,7857.94873,5208.7177729999985,2719.4877930000002,3.8282684122699155,7852.820312999998,5207.179688,3604.8384781369614,-5778.4619150000035,none
36,5139.487305,4799.487305,302.3076169999995,1.548371781628287,5127.179688,4777.94873,878.0775937900753,-8184.871581,none
37,5363.0771479999985,5000.512695,312.56445249999797,1.4048493472492085,5352.307617,4991.2822270000015,1122.989004662748,-8145.897461500001,none
38,7986.666504000002,4676.9228520000015,3491.7947995000004,9.349479666828081,7832.820312999998,4664.102539,3573.2284878272676,-5166.666625500003,none
39,5129.743652,4777.436035,338.46142600000167,1.657042815930461,5111.2822270000015,4771.2822270000015,848.0783821118366,-8198.461426,none
40,4944.615234000001,4649.230957,252.56396450000102,1.628990540022192,4927.692383,4644.615234000001,679.0762393698205,-8255.1279295,none
41,7830.769043000001,5804.615234000001,2059.230713,2.480914716136409,7818.974120999998,5779.487305,3404.1135518489145,-6755.641358000001,none
