,variance_AF3,variance_AF4,label
0,1018036.0660776398,279507.93655160686,none
1,1231626.3292786116,349671.4118121518,none
2,118043.75589524566,19096.522998095956,none
3,28557.79041379477,14243.486850860754,none
4,1103468.947052885,45363.12814437209,none
5,1377015.4007960702,63877.82692552138,none
6,1334505.2187102498,66149.85196959868,none
7,730845.15398872,128897.18573439537,none
8,1109810.348833278,51064.69000422542,none
9,74033.32390072153,31947.563812098066,none
10,1217167.2000590104,52003.1307091212,none
11,28207.951054905847,15295.241964916713,none
12,24278.68293929634,8744.315398240167,none
13,742140.6843854942,65610.39896553008,none
14,933950.3467798084,283618.79590631416,none
15,118641.0947744296,17056.496821058845,none
16,911500.6400651016,130992.03283228408,none
17,114233.96896051061,36190.224532237495,none
18,720894.9138720107,108241.06152038403,none
19,453218.89276894135,19526.440290612216,none
20,65978.27717657587,24504.239455296265,none
21,70293.98769055617,29952.36935468652,none
22,27218.90404038595,11227.101742232138,none
23,1584613.5511624268,117769.42888319232,none
24,36161.91068994477,17925.88068719916,none
25,49363.558078115144,22282.60364738847,none
26,971516.5563912938,26514.463629376158,none
27,63096.05284753214,6980.947776331159,none
28,1007230.515349829,94831.35157640651,none
29,737629.1676341397,29180.375879108386,none
30,1311746.5824377825,304077.63749989704,none
31,791831.1757306906,25795.49334055373,none
32,553565.5752294696,158377.6023784377,none
33,1289070.018277717,182515.0355420531,none
34,327047.6249494356,12886.186875019057,none
35,494094.3141008534,92147.6889841286,none
36,91370.19605604798,30894.22586585376,none
37,49458.27157821237,27423.821874699115,none
38,677720.9705443338,14494.035839292308,none
39,39572.396817521294,16209.153986686608,none
40,28928.48798550784,12558.315139242543,none
41,512285.5836379119,89718.9287879263,none
42,1958247.8472245324,93489.93677407068,none
43,62328.702793326775,27001.92731735635,none
44,26627.964441849523,11800.048355462659,none
45,1113985.309750312,361568.36206615734,none
46,1400505.908434189,448135.03169741266,none
47,1385796.769194669,71525.88340395073,none
48,1065826.691052917,148154.01129083673,none
49,1110830.475519734,47751.129110337024,none
50,1051836.5246882162,34056.896455611386,none
51,39415.21285345187,16982.086597235793,none
52,171359.5742235085,77941.91347999615,none
53,1309119.2743995003,213280.30010300205,none
54,56794.69121562583,10998.632984499112,none
55,43897.00487353652,18700.76710288623,none
56,53040.636520409826,18865.72296472054,none
57,63522.92928870806,23516.307727757714,none
58,34712.33453082739,15065.34833252513,none
59,71386.27681272077,28419.666119483958,none
60,149104.41923429325,19457.33235753136,none
61,1016325.9013477885,153493.58394310976,none
62,2231734.6172723216,94865.08313044035,none
63,30508.83338506123,11765.253167928971,none
64,223247.87458365934,73008.32942994092,none
65,102225.44726655436,42282.883578687826,none
66,32157.978920335263,6846.623872537141,none
67,25729.055960090627,11632.484772464912,none
68,40131.19062915127,16965.521175843176,none
69,106534.96116220772,44467.148813431806,none
70,1118458.912166606,48966.77916981297,none
71,1282613.8325915413,52064.60466470948,none
72,23012.40613345761,10024.06100776622,none
73,117115.98950304817,126850.31616425964,none
74,47914.58614704151,24399.92993461046,none
75,49255.71049038809,10861.64306384851,none
76,1030392.0158409579,184678.0828104879,none
77,754376.5408294427,29523.671550391755,none
78,88837.26562152382,34136.77033522472,none
79,19717.450752594952,11124.585851421463,none
80,31336.557200974956,15732.353017439675,none
81,1331002.9593551196,338799.39123690996,none
82,159274.0119342223,12252.967541540123,none
83,954718.797811591,233034.44069173312,none
84,1355229.2501687815,297372.05234705424,none
85,693611.8617026204,74722.03051335971,none
86,33399.053999601216,11883.769198092396,none
87,296387.1036429928,17576.089290364605,none
88,52144.39000718185,18127.89012079211,none
89,87120.98447981592,23567.013687906066,none
90,863430.6374402303,321774.33935727656,none
91,17744.220001510508,10928.994315274724,none
92,59510.64394057207,31458.39036719308,none
93,31826.25900179675,11241.828593451142,none
94,841345.7525158956,287423.01582449634,none
95,1425510.924317379,197022.9722477646,none
96,63804.530420339506,27388.59299834491,none
97,1358561.1794344734,74360.35759610125,none
98,764946.9135611751,72767.23284378435,none
99,532304.9092412482,23237.15276738946,none
100,31522.665161419416,14504.100604511761,none
101,777944.4397251846,22459.822772830557,none
102,1416567.6836113385,46298.61913895272,none
103,1030995.1148741394,99484.6794289671,none
104,928121.7278583774,320085.36860738194,none
105,29922.982498977904,10286.936721550466,none
106,256046.18764201697,46828.55759164648,none
107,1129575.9663895501,292143.501364081,none
108,1127299.4029624427,202321.91711397775,none
109,66629.87530321571,27394.822831579913,none
110,1143100.1546216046,168392.5783628747,none
111,85839.56193812325,28196.02305395683,none
112,1136174.5630305652,177390.47393752553,none
113,875412.445108428,90847.7515920254,none
114,1777992.1471903564,119817.04313766153,none
115,26819.94121051555,8432.086595893774,none
116,34124.18891897235,15991.340184953384,none
117,1308857.2234595597,47863.95271873139,none
118,2174769.687874207,108449.74260325245,none
119,26330.440221884208,12564.237411416938,none
120,973048.2428333751,30995.966545023195,none
121,1539807.0897944532,157373.00632579112,none
122,1025869.0347763874,95260.46932210447,none
123,1133852.2111558837,122664.91661475113,none
124,1081777.4732922364,194764.8906061033,none
125,30321.2831608663,10967.60765814361,none
126,808681.9030752839,171754.880082195,none
127,89771.24814020559,38371.544790858774,none
128,34504.931136807645,6725.717508628465,none
129,461015.5051512602,93185.42626009614,none
130,797702.3125979148,25299.546971175256,none
131,26897.46021623091,11755.76933720699,none
132,35379.994638039214,18687.74023077496,none
133,45813.80785739664,17958.69924875022,none
134,1261904.9625272565,80436.23624486905,none
135,795999.8754170699,23233.194951962676,none
136,1150190.794125136,55729.04444761436,none
137,962231.6005827758,33086.103683072266,none
138,1058597.8362794127,273894.7806328417,none
139,41132.711391979756,18907.720738256303,none
140,19255.89787848015,6705.7943686867575,none
141,31631.605862646302,16023.910024222578,none
142,766481.5787767676,29463.756605093145,none
143,1433757.7931045028,56580.6405498243,none
144,290512.75810703106,17172.84937021374,none
145,1262249.8673749452,332197.13299470244,none
146,34821.28418734549,16739.795989843416,none
147,1006595.1604096182,174809.69171565087,none
148,1481393.7706292025,89556.06457367333,none
149,45686.06609987814,20328.543819002487,none
150,879204.6749219385,138745.2395797326,none
151,30073.17950276846,15898.02273770795,none
152,902443.1893405723,196166.3569119219,none
153,1163039.2130145493,72646.84859503976,none
154,101082.91895717435,20485.911056855588,none
155,39946.48249464984,10327.40599302756,none
156,23440.905371404922,11158.037741542332,none
157,22676.84170905534,10634.935894070113,none
158,99338.0807125311,38231.06290074375,none
159,990315.6396213729,49564.13131735766,none
160,90390.71824257115,12748.907532801515,none
161,1255496.625024737,38148.32824676512,none
162,718470.3694149561,24824.617372158133,none
163,1340909.8542071835,258156.7643954529,none
164,1496753.224975707,385885.21991468937,none
165,95172.93428527615,39790.34381128821,none
166,33406.152716901815,14124.158668800323,none
167,21127.84445388062,9900.511528856243,none
168,874763.7883041272,72555.61101358732,none
169,1301031.7820325862,386090.8072713271,none
170,30531.531744431908,9677.738987186098,none
171,22167.437321575435,11710.266502708246,none
172,988181.1251273736,36061.70532920491,none
173,1492714.6914569961,555188.6727651489,none
174,101379.61983243047,34367.44646979822,none
175,22013.669455562063,8819.344352868695,none
176,27191.228830236945,10413.552942829567,none
177,22880.913652191946,11775.239701670977,none
178,1234941.3843424222,58609.95212157111,none
179,43254.854460633105,17530.01146501737,none
180,18492.5194463694,6219.216061311383,none
181,1061356.4814139495,39209.55364647992,none
182,56307.480979972956,22315.215658319772,none
183,1344900.6494875983,567217.7494427025,none
184,1222273.3103333383,33112.187918669115,none
185,1118948.6740761036,107613.24859286504,none
186,22148.897100816415,10782.319103599646,none
187,883019.377287963,36998.00745142653,none
188,1015700.2713183941,217444.45799700954,none
189,840393.850959081,235013.35630600835,none
190,916787.1793848521,34164.28905822815,none
191,90824.88166919429,18972.043766658302,none
192,89793.8372915694,31818.6964884444,none
193,26435.2984865002,13225.946157337385,none
194,42731.147745900416,18515.67324096143,none
195,1031915.732286953,333729.2792173726,none
196,26114.92986694901,12750.899291816115,none
197,23700.334894375734,11219.12776314662,none
198,784850.1318162018,30529.99998457136,none
199,837420.4187559946,118038.00674138928,none
200,30178.814935547955,12336.10320239275,none
201,1309000.6119822566,58489.74200628589,none
202,366856.739030124,18229.776088401435,none
203,399757.38133417914,17974.333806622024,none
204,1503713.9004352246,111657.26022188383,none
205,1285361.917905281,48295.568197974484,none
206,1363726.465135314,57997.55043173558,none
207,23727.12067830518,8929.888370561712,none
208,35942.007241545034,15483.893563968048,none
209,1520351.4291805068,98213.49069506809,none
210,750118.6121202218,148861.07383638123,none
211,67720.58203747304,26030.563308022964,none
212,22007.8733211252,11366.769057122552,none
213,661679.0859751755,33535.49983210913,none
214,95900.67251286015,33863.3808009394,none
215,30505.815937719537,15803.172124989578,none
216,576981.076693516,51092.18145469377,none
217,68800.09729708334,41983.054258906785,none
218,24193.94345489117,10057.294361824483,none
219,1144951.4171947816,373497.3464070868,none
220,67307.09613177627,11873.115760666115,none
221,1299357.4504581704,53225.44144688813,none
222,1615722.2421939548,75029.12004228999,none
223,743150.3567239017,115910.28401539531,none
224,403345.5802101326,52919.02097640164,none
225,1385372.624208039,279946.11631677405,none
226,911995.8881526784,151585.81286121867,none
227,173634.65653423604,17623.733339143262,none
228,33866.036823823044,18265.894687454238,none
229,791373.6971341394,34159.12019554536,none
230,40115.69853701098,17789.014767154087,none
231,27116.04209284685,11850.584493090435,none
232,1434049.661087974,321609.3810518216,none
233,844556.0882751923,175913.82042549728,none
234,19194.570628392783,6391.885416277869,none
235,1197660.2798745132,135842.3195890626,none
236,690849.8749284005,92179.72086984255,none
237,877469.7016314329,17323.001673395134,none
238,1941887.5653242636,114872.25521937586,none
239,18986.126798167625,9402.499641260802,none
240,44745.58807986142,18127.07193841803,none
241,958082.6882117607,24647.833855424684,none
242,454375.63057684305,62558.123512851605,none
243,27306.44190836675,13691.73617834148,none
244,1302416.7863555439,44072.95281994955,none
245,31121.407745735996,15185.13604032588,none
246,964762.3090155306,33815.839697867916,none
247,34016.906369204175,17736.30610907078,none
248,95422.4333353099,91605.3185218203,none
249,40684.979624777145,12883.292502879713,none
250,24888.038241163136,11090.322699314533,none
251,77036.48418386928,30878.910667804656,none
252,1281509.7747950857,53293.99986762127,none
0,575474.3245119832,2235.9217189361357,none
1,1136685.7540480488,7640.363581091671,none
2,730798.4856335351,3794.57838692467,none
3,106634.50259492834,2271.807171030892,none
4,688143.2939364752,21454.103284390276,none
5,2004272.4139194875,258124.13919596447,none
6,663970.8753266338,2009.811719602679,none
7,397551.52244958165,76373.5444860947,none
8,468457.97663554957,16305.620025872058,none
9,1714620.840905486,154585.0217731872,none
10,209548.88895213156,64262.54063379869,none
11,523807.2434413316,128821.36613745235,none
12,1525267.0618460742,139439.26210901662,none
13,1494692.0102119711,167246.58907178283,none
14,1558802.7634615267,129543.85795702582,none
15,360447.9717854525,5794.344184883104,none
16,1661280.166590432,4644.694941744574,none
17,524463.956183656,39709.46689981179,none
18,477069.9762027599,20364.08629145188,none
19,1281981.8594020407,149906.13968898042,none
20,1097306.579187048,97454.90067791089,none
21,1672231.8053482375,150461.75051476964,none
