,AF3_max,AF4_max,label
0,7867.692383,6775.384765999999,example
1,7903.589844,6857.94873,example
2,5900.0,4894.3588869999985,example
3,4923.0771479999985,4674.3588869999985,example
4,8023.589844,5321.538574,example
5,8023.077148,5315.384765999999,example
6,8067.179687999998,5215.384765999999,example
7,7877.94873,5661.538574,example
8,7972.820312999998,5343.0771479999985,example
9,5043.0771479999985,4782.05127,example
10,7957.436035,5285.128418,example
11,5003.589844,4757.94873,example
12,4900.0,4680.0,example
13,7903.077148,5641.025879,example
14,7858.974120999998,6750.256348000001,example
15,6317.94873,4929.743652,example
16,7887.179687999998,6187.692383,example
17,5284.615234000001,4839.487305,example
18,7856.922852,5475.384765999999,example
19,8043.589844,5101.538574,example
20,5050.769043,4712.307617,example
21,4941.025879,4758.974121,example
22,5067.692383,4704.615234000001,example
23,7965.641113,5674.871582,example
24,5036.410156,4748.205078,example
25,5012.820313,4750.256348,example
26,7909.230956999999,5014.3588869999985,example
27,5790.256348,4605.128418,example
28,7869.743651999999,5886.666504,example
29,7883.077148,5119.487305,example
30,7862.05127,6178.461426,example
31,7980.0,4993.333496,example
32,7845.641113,6341.025879,example
33,7907.692383,6168.205078,example
34,7637.94873,4801.538574,example
35,7857.94873,5208.7177729999985,example
36,5139.487305,4799.487305,example
37,5363.0771479999985,5000.512695,example
38,7986.666504000002,4676.9228520000015,example
39,5129.743652,4777.436035,example
40,4944.615234000001,4649.230957,example
41,7830.769043000001,5804.615234000001,example
42,7941.025879000002,5600.512695,example
43,4946.153809,4722.563965,example
44,5013.846191,4732.820313,example
45,7872.820312999998,7058.461426000002,example
46,7908.717773,7472.307617,example
47,7927.692383,5364.615234000001,example
48,7883.077148,5963.589844,example
49,7975.384765999999,5270.769043,example
50,7876.410156,5161.025879,example
51,5010.256348,4735.897461,example
52,5029.743652,4727.179688,example
53,7877.436035,6248.7177729999985,example
54,5510.769043,4791.794922,example
55,5043.589844,4766.153809,example
56,5132.820313,4799.487305,example
57,5004.615234000001,4768.205078,example
58,5015.897461,4752.820313,example
59,5074.3588869999985,4778.461426,example
60,6171.2822270000015,4868.7177729999985,example
61,7852.307617,6192.820313,example
62,7782.563965,5238.461426,example
63,5125.6411130000015,4746.153809,example
64,6803.589844,5121.025879,example
65,5100.0,4796.410156,example
66,5083.589844,4616.9228520000015,example
67,4866.153809,4626.153809,example
68,5221.025879,4801.538574,example
69,5054.3588869999985,4745.6411130000015,example
70,7966.153809,5364.102539,example
71,7909.230956999999,5292.307617,example
72,5046.666504,4763.0771479999985,example
73,4898.461426,4589.230957,example
74,5204.102539,4861.538574,example
75,5396.9228520000015,4773.333496,example
76,7851.282227,5977.94873,example
77,7894.358887,5064.615234000001,example
78,5989.743652,5118.974121,example
79,4953.333496,4674.871582,example
80,4908.7177729999985,4677.436035,example
81,7893.333495999998,6681.538574,example
82,6931.282227,4871.2822270000015,example
83,7854.358887,6605.128418,example
84,7874.358887,6996.410156,example
85,7853.846191,5397.94873,example
86,5040.0,4747.692383,example
87,7534.358887,4939.487305,example
88,5025.6411130000015,4739.487305,example
