,variance_AF3,variance_AF4,AF3_sum,AF4_sum,AF3_max,AF4_max,label
0,352.86296745676157,323.84536895138683,1658104.6142700003,1639256.4135930003,4376.410156,4327.692383,none
1,752.9969144296322,3750.8148301004107,1663486.6631,1643900.005864,4406.666504,4422.05127,none
2,456.6976045788243,371.04375258211854,1656033.839854,1643171.791028,4379.487305,4362.05127,none
3,590.1919930432407,513.0252937142967,1654010.768073,1641851.793959,4429.230957,4391.2822270000015,none
4,1508.04811819075,868.9838746963036,1683002.562517,1644132.311049,4452.307617,4341.538574,none
5,681.1130152093587,735.0412323275328,1651330.2573370002,1630486.157236,4348.205078,4316.410156,none
6,376.98043536543224,496.74368290666655,1652387.950207,1640361.7968819998,4366.153809,4340.0,none
7,454.56427007444614,480.293246072179,1646272.559581,1644126.661632,4352.307617,4355.897461,none
8,3767.1098137466856,1766.0597831735888,1658096.409196,1642118.9731669999,4536.410156,4422.05127,none
9,365.0670182335558,505.74364227215864,1659493.336918,1640458.206557,4404.102539,4347.692383,none
10,477.5111322979992,537.2517518138443,1664416.929707,1642287.692402,4394.871582,4351.2822270000015,none
11,465.20274162761723,403.9755965935047,1645801.5410330002,1637330.253431,4361.025879,4335.897461,none
12,805.3224424061045,742.8263898534477,1670545.1249990002,1654762.560052,4423.589844,4366.153809,none
13,240.07057522828413,435.16441770851384,1650140.512219,1640931.278809,4356.9228520000015,4336.410156,none
14,362.1307921317303,327.2339320245029,1658485.895521,1647472.823256,4380.512695,4349.743652,none
15,323.0919162207908,560.3090705606145,1661127.696295,1646074.8696380001,4369.230957,4354.3588869999985,none
16,386.5387811841487,360.6788978414601,1655262.563484,1638345.126972,4420.0,4379.487305,none
17,2157.417431365353,565.1889222107488,1642868.725112,1634621.0249049999,4365.128418,4303.589844,none
18,783.7315534780151,504.65651185105327,1661571.794928,1644524.0996249998,4410.256348,4343.0771479999985,none
19,2447.315995391081,686.500938935676,1648174.357919,1637106.6665090001,4382.05127,4361.025879,none
20,372.30684564609277,335.4610885588649,1667706.667978,1651814.10255,4393.333496,4351.794922,none
21,31252.555039678926,32434.077606220413,1608895.8984460002,1581472.308349,4437.436035,4375.384765999999,none
22,494.2453110441461,570.446096292595,1663315.385262,1647045.8979449999,4377.94873,4357.94873,none
23,477.4615627033887,343.4263986011785,1656572.306165,1637548.7148540001,4375.384765999999,4337.94873,none
24,379.0304026026435,331.3523308174686,1655570.770515,1644138.9726680003,4367.179688,4333.333496,none
25,408.26410106789797,349.22811335610913,1657057.4379810002,1645664.6167080002,4377.94873,4345.128418,none
26,282.3428871458072,293.76379262130285,1654207.691909,1640541.023442,4366.153809,4328.7177729999985,none
